_id,Nombre del organismo contratante,Titulo,Modalidad,Tipo de contrato,Procedimiento,Criterio adjudicacion,Tramitacion,Valor estimado (Euros),Importe (Euros),Importe licitacion (Euros),Supuesto,Revision precios,Formula revision,Contrato plurianual,Posibilidad de prorroga,Plazo maximo,Codigos CPV,Varios Lotes,Lote,Adjudicatario,Fecha de adjudicacion,Fecha de formalizacion del contrato,Plazo o fecha fin,NIF,Importe adjudicacion (Euros),No de participantes,Clausulas sociales,Clausulas de compra ecologica,Contratacion de I+D,Contratacion de soluciones innovadoras,Importe financiacion (Euros),Reserva en licitacion,Importe Ejecutar (Euros)
11,,,,,,,,,,,,,,,,,,,Lote 6 Pescados Septiembre Octubre: 15200000,Sociedad Cooperativa de Hosteleria de Navarra,01/06/2019,01/06/2019,01/06/2019 - 31/12/2019,****0535*,,,"Lote 6: Sociales: Adjudicación: 10,00 % de puntuación máxima a obtener sobre el total de criterios de adjudicación",,,,,,
12,,,,,,,,,,,,,,,,,,,Lote 7 Pescados Noviembre Diciembre: 15200000,Sociedad Cooperativa de Hosteleria de Navarra,01/06/2019,01/06/2019,01/06/2019 - 31/12/2019,****0535*,,,"Lote 7: Sociales: Adjudicación: 10,00 % de puntuación máxima a obtener sobre el total de criterios de adjudicación",,,,,,
13,,,,,,,,,,,,,,,,,,,Lote 8 Frutas y Verduras Abril: 15300000,Sociedad Cooperativa de Hosteleria de Navarra,01/06/2019,01/06/2019,01/06/2019 - 31/12/2019,****0535*,,,"Lote 8: Sociales: Adjudicación: 10,00 % de puntuación máxima a obtener sobre el total de criterios de adjudicación",,,,,,
14,,,,,,,,,,,,,,,,,,,Lote 8 Frutas y Verduras Abril: 15300000,Frutas Sheila S.A.,01/06/2019,01/06/2019,01/06/2019 - 31/12/2019,****1563*,,,"Lote 9: Sociales: Adjudicación: 10,00 % de puntuación máxima a obtener sobre el total de criterios de adjudicación",,,,,,
15,,,,,,,,,,,,,,,,,,,Lote 8 Frutas y Verduras Abril: 15300000,Radvi Hortalizas S.L.,01/06/2019,01/06/2019,01/06/2019 - 31/12/2019,****1959*,,,"Lote 10: Sociales: Adjudicación: 10,00 % de puntuación máxima a obtener sobre el total de criterios de adjudicación",,,,,,
16,,,,,,,,,,,,,,,,,,,Lote 9 Frutas y Verduras Mayo Junio: 15300000,Sociedad Cooperativa de Hosteleria de Navarra,01/06/2019,01/06/2019,01/06/2019 - 31/12/2019,****0535*,,,"Lote 11: Sociales: Adjudicación: 10,00 % de puntuación máxima a obtener sobre el total de criterios de adjudicación",,,,,,
17,,,,,,,,,,,,,,,,,,,Lote 9 Frutas y Verduras Mayo Junio: 15300000,Frutas Sheila S.A.,01/06/2019,01/06/2019,01/06/2019 - 31/12/2019,****1563*,,,"Lote 12: Sociales: Adjudicación: 10,00 % de puntuación máxima a obtener sobre el total de criterios de adjudicación",,,,,,
18,,,,,,,,,,,,,,,,,,,Lote 9 Frutas y Verduras Mayo Junio: 15300000,Radvi Hortalizas S.L.,01/06/2019,01/06/2019,01/06/2019 - 31/12/2019,****1959*,,,,,,,,,
19,,,,,,,,,,,,,,,,,,,Lote 10 Frutas y Verduras Julio Agosto: 15300000,Sociedad Cooperativa de Hosteleria de Navarra,01/06/2019,01/06/2019,01/06/2019 - 31/12/2019,****0535*,,,,,,,,,
20,,,,,,,,,,,,,,,,,,,Lote 10 Frutas y Verduras Julio Agosto: 15300000,Frutas Sheila S.A.,01/06/2019,01/06/2019,01/06/2019 - 31/12/2019,****1563*,,,,,,,,,
21,,,,,,,,,,,,,,,,,,,Lote 10 Frutas y Verduras Julio Agosto: 15300000,Radvi Hortalizas S.L.,01/06/2019,01/06/2019,01/06/2019 - 31/12/2019,****1959*,,,,,,,,,
22,,,,,,,,,,,,,,,,,,,Lote 11 Frutas y Verduras Septiembre Octubre: 15300000,Sociedad Cooperativa de Hosteleria de Navarra,01/06/2019,01/06/2019,01/06/2019 - 31/12/2019,****0535*,,,,,,,,,
23,,,,,,,,,,,,,,,,,,,Lote 11 Frutas y Verduras Septiembre Octubre: 15300000,Frutas Sheila S.A.,01/06/2019,01/06/2019,01/06/2019 - 31/12/2019,****1563*,,,,,,,,,
24,,,,,,,,,,,,,,,,,,,Lote 11 Frutas y Verduras Septiembre Octubre: 15300000,Radvi Hortalizas S.L.,01/06/2019,01/06/2019,01/06/2019 - 31/12/2019,****1959*,,,,,,,,,
25,,,,,,,,,,,,,,,,,,,Lote 12 Frutas y Verduras Noviembre Diciembre: 15300000,Sociedad Cooperativa de Hosteleria de Navarra,01/06/2019,01/06/2019,01/06/2019 - 31/12/2019,****0535*,,,,,,,,,
26,,,,,,,,,,,,,,,,,,,Lote 12 Frutas y Verduras Noviembre Diciembre: 15300000,Frutas Sheila S.A.,01/06/2019,01/06/2019,01/06/2019 - 31/12/2019,****1563*,,,,,,,,,
27,,,,,,,,,,,,,,,,,,,Lote 12 Frutas y Verduras Noviembre Diciembre: 15300000,Radvi Hortalizas S.L.,01/06/2019,01/06/2019,01/06/2019 - 31/12/2019,****1959*,,,,,,,,,
28,Agencia Navarra para la Dependencia,Contrato mantenimiento zonas verdes y espacios ajardinados E.I. Niño Jesús de Corella,Contratos,Servicios,Procedimiento simplificado,Mejor relación calidad-precio,Ordinaria,"48.408,73","6.847,82","7.059,61",,N,,,S,4 años,77310000,N,,"ADISCO, Asociación de Disminuidos Físicos y Psíquicos de Corella",17/06/2019,01/07/2019,4 años,****7593*,"6.847,82",1,"Sociales: Adjudicación: 10,00 % de puntuación máxima a obtener sobre el total de criterios de adjudicación",N,N,N,,"S - 8.542,12","8.542,12"
29,Agencia Navarra para la Dependencia,Contrato de obras de reforma de la instalación y cambio de combustible a gas natural en CAIDIS Atalaya,Contratos,Obras,Abierto,Mejor relación calidad y coste-eficacia,Ordinaria,"167.952,81","116.836,74","146.045,92",,N,,,N,,42161000,N,,Grupo Industrial Mantenimiento Avanzado de Navarra S.L.,17/06/2019,02/07/2019,56 días,****2545*,"116.836,74",5,"Sociales: Adjudicación: 10,00 % de puntuación máxima a obtener sobre el total de criterios de adjudicación",N,N,N,,N,
30,Agencia Navarra para la Dependencia,Acuerdo Marco de Productos de Limpieza para los centros dependientes de la Agencia Navarra de Autonomía y Desarrrollo de las Personas,Acuerdo marco,Suministro,Abierto,Mejor relación calidad y coste-eficacia,Ordinaria,"153.349,07",0,"51.116,36",,N,,,S,33 meses,39830000,N,,Amable Fernandez Martinez S.L.U.,01/08/2019,01/08/2019,01/08/2019 - 15/04/2020,****5664*,,5,"Sociales: Adjudicación: 10,00 % de puntuación máxima a obtener sobre el total de criterios de adjudicación",N,N,N,,N,
31,,,,,,,,,,,,,,,,,,,,Leydet S.L.,01/08/2019,01/08/2019,01/08/2019 - 15/04/2020,****0744*,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,Sernatec S.L.,01/08/2019,01/08/2019,01/08/2019 - 15/04/2020,****0917*,,,,,,,,,
33,Agencia Navarra para la Dependencia,Acuerdo Marco para el suministro de leche y productos lácteos para los centros dependientes de la Agencia Navarra de Autonomía y Desarrollo de las Personas,Acuerdo marco,Suministro,Abierto,Mejor relación calidad-precio,Ordinaria,"150.906,24",0,"27.945,60",,N,,,S,24 meses,15500000,S,LOTE Nº 1: LECHE: 15511000,"KAIKU KM 0, SL",15/10/2019,15/10/2019,01/11/2019 - 31/12/2019,****6935*,,3,"Sociales: Adjudicación: 10,00 % de puntuación máxima a obtener sobre el total de criterios de adjudicación",N,N,N,,N,
34,,,,,,,,,,,,,,,,,,,LOTE Nº 1: LECHE: 15511000,CORPORACIÓN ALIMENTARIA PEÑASANTA SL,15/10/2019,15/10/2019,01/11/2019 - 31/12/2019,****6127*,,,"Lote 1: Sociales: Adjudicación: 10,00 % de puntuación máxima a obtener sobre el total de criterios de adjudicación",,,,,,
35,,,,,,,,,,,,,,,,,,,LOTE Nº 2: PRODUCTOS LÁCTEOS: 15500000,"KAIKU KM 0, SL",15/10/2019,15/10/2019,01/11/2019 - 31/12/2019,****6935*,,,"Lote 2: Sociales: Adjudicación: 10,00 % de puntuación máxima a obtener sobre el total de criterios de adjudicación",,,,,,
36,Agencia Navarra para la Dependencia,"Contrato de Servicios de desinfección, desinsectación y desratizacion en los centros dependientes de la Agencia Navarra para la Autonomía y Desarrollo de las Personas",Contratos,Servicios,Abierto,Mejor relación calidad-precio,Ordinaria,"25.635,82","6.260,00","6.408,96",,N,,,S,58 meses,90920000,N,,"EZSA, SANIDAD AMBIENTAL, S.L.",12/11/2019,26/11/2019,58 meses,****2192*,"6.260,00",1,"Sociales: Adjudicación: 10,00 % de puntuación máxima a obtener sobre el total de criterios de adjudicación",N,N,N,,N,
37,Agencia Navarra para la Dependencia,"Acuerdo Marco que ha de regir la selección de empresas que prestarán los servicios de Plazas Residenciales, de Estancias Diurnas y de Promoción de la Autonomía Personal, para personas mayores, en el ámbito de la Comunidad Foral de Navarra, así como l",Acuerdo marco,Servicios,Abierto,Mejor relación calidad y coste-eficacia,Ordinaria,"357.963.411,53",0,"178.981.705,80",,N,,,S,4 años,85311000,S,• LOTE 1: Hasta 3.000 plazas de atención residencial para personas mayores: 85311000,Asistencia Ibañeta S.A.,09/06/2019,,2 años,****6050*,,42,Género : Ejecución,N,N,N,,N,
38,,,,,,,,,,,,,,,,,,,• LOTE 1: Hasta 3.000 plazas de atención residencial para personas mayores: 85311000,Asistencial Villa de Betelu S.A.,09/06/2019,,2 años,****7666*,,,Laborales : Ejecución,,,,,,
39,,,,,,,,,,,,,,,,,,,• LOTE 1: Hasta 3.000 plazas de atención residencial para personas mayores: 85311000,Seresgerna S.A.,09/06/2019,,2 años,****9780*,,,Otras : Ejecución,,,,,,
40,,,,,,,,,,,,,,,,,,,• LOTE 1: Hasta 3.000 plazas de atención residencial para personas mayores: 85311000,Planiger SA - Amavir Argaray,09/06/2019,,2 años,****5197*,,,Sociales : Ejecución,,,,,,
41,,,,,,,,,,,,,,,,,,,• LOTE 1: Hasta 3.000 plazas de atención residencial para personas mayores: 85311000,Planiger SA - Amavir Mutilva,09/06/2019,,2 años,****5197*,,,Lote 1: Género : Ejecución,,,,,,
42,,,,,,,,,,,,,,,,,,,• LOTE 1: Hasta 3.000 plazas de atención residencial para personas mayores: 85311000,Planiger SA - Amavir Oblatas,09/06/2019,,2 años,****5197*,,,Lote 1: Laborales : Ejecución,,,,,,
43,,,,,,,,,,,,,,,,,,,• LOTE 1: Hasta 3.000 plazas de atención residencial para personas mayores: 85311000,Sanitas Mayores Navarra S.L. - Luz de Estella,09/06/2019,,2 años,****3827*,,,Lote 1: Otras : Ejecución,,,,,,
44,,,,,,,,,,,,,,,,,,,• LOTE 1: Hasta 3.000 plazas de atención residencial para personas mayores: 85311000,Sanitas Mayores Navarra S.L. - El Mirador,09/06/2019,,2 años,****3827*,,,Lote 1: Sociales : Ejecución,,,,,,
45,,,,,,,,,,,,,,,,,,,• LOTE 1: Hasta 3.000 plazas de atención residencial para personas mayores: 85311000,"Centro Médico Alfa Dos, S.L.",09/06/2019,,2 años,****6172*,,,Lote 2: Género : Ejecución,,,,,,
46,,,,,,,,,,,,,,,,,,,• LOTE 1: Hasta 3.000 plazas de atención residencial para personas mayores: 85311000,Residencia Beloso Alto S.L.,09/06/2019,,2 años,****4449*,,,Lote 2: Laborales : Ejecución,,,,,,
47,,,,,,,,,,,,,,,,,,,• LOTE 1: Hasta 3.000 plazas de atención residencial para personas mayores: 85311000,Residencia Torre Monreal SL,09/06/2019,,2 años,****7287*,,,Lote 2: Otras : Ejecución,,,,,,
48,,,,,,,,,,,,,,,,,,,• LOTE 1: Hasta 3.000 plazas de atención residencial para personas mayores: 85311000,Procgeri Gestión XXI S.L.,09/06/2019,,2 años,****1989*,,,Lote 2: Sociales : Ejecución,,,,,,
49,,,,,,,,,,,,,,,,,,,• LOTE 1: Hasta 3.000 plazas de atención residencial para personas mayores: 85311000,Idea Servicios Sociosanitarios S.L.,09/06/2019,,2 años,****3951*,,,Lote 3: Género : Ejecución,,,,,,
50,,,,,,,,,,,,,,,,,,,• LOTE 1: Hasta 3.000 plazas de atención residencial para personas mayores: 85311000,Servicios Técnicos Asistenciales de Navarra Gestión SLU,09/06/2019,,2 años,****7202*,,,Lote 3: Laborales : Ejecución,,,,,,
51,,,,,,,,,,,,,,,,,,,• LOTE 1: Hasta 3.000 plazas de atención residencial para personas mayores: 85311000,Asociación Vesta Salud y Vida,09/06/2019,,2 años,****0986*,,,Lote 3: Otras : Ejecución,,,,,,
52,,,,,,,,,,,,,,,,,,,• LOTE 1: Hasta 3.000 plazas de atención residencial para personas mayores: 85311000,Fundación Residencia San Manuel y San Severino,09/06/2019,,2 años,****1272*,,,Lote 3: Sociales : Ejecución,,,,,,
53,,,,,,,,,,,,,,,,,,,• LOTE 1: Hasta 3.000 plazas de atención residencial para personas mayores: 85311000,Residencia San Francisco Javier - Fundación Fausta Elorz,09/06/2019,,2 años,****1440*,,,,,,,,,
54,,,,,,,,,,,,,,,,,,,• LOTE 1: Hasta 3.000 plazas de atención residencial para personas mayores: 85311000,Fundación María Álvarez de Eulate,09/06/2019,,2 años,****1497*,,,,,,,,,
55,,,,,,,,,,,,,,,,,,,• LOTE 1: Hasta 3.000 plazas de atención residencial para personas mayores: 85311000,Real Casa de Misericordia de Tudela,09/06/2019,,2 años,****1560*,,,,,,,,,
56,,,,,,,,,,,,,,,,,,,• LOTE 1: Hasta 3.000 plazas de atención residencial para personas mayores: 85311000,Asilo de Ancianos San Jerónimo,09/06/2019,,2 años,****1593*,,,,,,,,,
57,,,,,,,,,,,,,,,,,,,• LOTE 1: Hasta 3.000 plazas de atención residencial para personas mayores: 85311000,Residencia de Ancianos San Jose,09/06/2019,,2 años,****7920*,,,,,,,,,
58,,,,,,,,,,,,,,,,,,,• LOTE 1: Hasta 3.000 plazas de atención residencial para personas mayores: 85311000,Residencia San Miguel de Funes,09/06/2019,,2 años,****9611*,,,,,,,,,
59,,,,,,,,,,,,,,,,,,,• LOTE 1: Hasta 3.000 plazas de atención residencial para personas mayores: 85311000,Fundación Don Miguel Eza,09/06/2019,,2 años,****0692*,,,,,,,,,
60,,,,,,,,,,,,,,,,,,,• LOTE 1: Hasta 3.000 plazas de atención residencial para personas mayores: 85311000,Fundación San José Zahar Etxea,09/06/2019,,2 años,****1637*,,,,,,,,,
61,,,,,,,,,,,,,,,,,,,• LOTE 1: Hasta 3.000 plazas de atención residencial para personas mayores: 85311000,Residencia San Miguel - Don Miguel Revuelta,09/06/2019,,2 años,****2998*,,,,,,,,,
62,,,,,,,,,,,,,,,,,,,• LOTE 1: Hasta 3.000 plazas de atención residencial para personas mayores: 85311000,Fundación Carmen Bellido,09/06/2019,,2 años,****3067*,,,,,,,,,
63,,,,,,,,,,,,,,,,,,,• LOTE 1: Hasta 3.000 plazas de atención residencial para personas mayores: 85311000,Residencia Virgen de Jerusalen,09/06/2019,,2 años,****3161*,,,,,,,,,
64,,,,,,,,,,,,,,,,,,,• LOTE 1: Hasta 3.000 plazas de atención residencial para personas mayores: 85311000,Residencia Virgen del Portal,09/06/2019,,2 años,****3733*,,,,,,,,,
65,,,,,,,,,,,,,,,,,,,• LOTE 1: Hasta 3.000 plazas de atención residencial para personas mayores: 85311000,Patronato de la Residencia de Ancianos de Altasu/Alsasua,09/06/2019,,2 años,****8264*,,,,,,,,,
66,,,,,,,,,,,,,,,,,,,• LOTE 1: Hasta 3.000 plazas de atención residencial para personas mayores: 85311000,Fundación Residencia Virgen de Gracia de Carcar,09/06/2019,,2 años,****5851*,,,,,,,,,
67,,,,,,,,,,,,,,,,,,,• LOTE 1: Hasta 3.000 plazas de atención residencial para personas mayores: 85311000,Residencia de Ancianos La Milagrosa de Olite,09/06/2019,,2 años,****8286*,,,,,,,,,
68,,,,,,,,,,,,,,,,,,,• LOTE 1: Hasta 3.000 plazas de atención residencial para personas mayores: 85311000,Patronato Hogar San José de Corella,09/06/2019,,2 años,****0514*,,,,,,,,,
69,,,,,,,,,,,,,,,,,,,• LOTE 1: Hasta 3.000 plazas de atención residencial para personas mayores: 85311000,Residencia Santa Maria de Los Arcos,09/06/2019,,2 años,****9729*,,,,,,,,,
70,,,,,,,,,,,,,,,,,,,• LOTE 1: Hasta 3.000 plazas de atención residencial para personas mayores: 85311000,"Fundación Residencia ""Nuestra Señora de Gracia"" de Viana",09/06/2019,,2 años,****8333*,,,,,,,,,
71,,,,,,,,,,,,,,,,,,,• LOTE 1: Hasta 3.000 plazas de atención residencial para personas mayores: 85311000,Ayuntamiento de Castejon,09/06/2019,,2 años,****6900*,,,,,,,,,
72,,,,,,,,,,,,,,,,,,,• LOTE 1: Hasta 3.000 plazas de atención residencial para personas mayores: 85311000,Patronato Municipal San Francisco De Asís,09/06/2019,,2 años,****7201*,,,,,,,,,
73,,,,,,,,,,,,,,,,,,,• LOTE 1: Hasta 3.000 plazas de atención residencial para personas mayores: 85311000,Residencia Andra Mari de Lesaka,09/06/2019,,2 años,****5301*,,,,,,,,,
74,,,,,,,,,,,,,,,,,,,• LOTE 1: Hasta 3.000 plazas de atención residencial para personas mayores: 85311000,Patronato Residencia de Ancianos Virgen del Castillo,09/06/2019,,2 años,****7101*,,,,,,,,,
75,,,,,,,,,,,,,,,,,,,• LOTE 1: Hasta 3.000 plazas de atención residencial para personas mayores: 85311000,Organismo Autónomo Residencia Municipal de Sangüesa/Zangoza San Vicente de Paúl,09/06/2019,,2 años,****1601*,,,,,,,,,
76,,,,,,,,,,,,,,,,,,,• LOTE 1: Hasta 3.000 plazas de atención residencial para personas mayores: 85311000,Mancomunidad Servicios Sociales Lumbier,09/06/2019,,2 años,****2133*,,,,,,,,,
77,,,,,,,,,,,,,,,,,,,• LOTE 1: Hasta 3.000 plazas de atención residencial para personas mayores: 85311000,Residencia Hospital Nuestra Señora de la Caridad,09/06/2019,,2 años,****2701*,,,,,,,,,
78,,,,,,,,,,,,,,,,,,,• LOTE 1: Hasta 3.000 plazas de atención residencial para personas mayores: 85311000,Patronato Municipal Residencia San Bartolome,09/06/2019,,2 años,****7310*,,,,,,,,,
79,,,,,,,,,,,,,,,,,,,• LOTE 1: Hasta 3.000 plazas de atención residencial para personas mayores: 85311000,Patronato Residencia Valle de Salazar,09/06/2019,,2 años,****0629*,,,,,,,,,
80,,,,,,,,,,,,,,,,,,,• LOTE 2: Hasta 200 plazas de estancias diurnas: 85312000,Asistencia Ibañeta S.A.,09/06/2019,,2 años,****6050*,,,,,,,,,
81,,,,,,,,,,,,,,,,,,,• LOTE 2: Hasta 200 plazas de estancias diurnas: 85312000,Asistencial Villa de Betelu S.A.,09/06/2019,,2 años,****7666*,,,,,,,,,
82,,,,,,,,,,,,,,,,,,,• LOTE 2: Hasta 200 plazas de estancias diurnas: 85312000,Seresgerna S.A.,09/06/2019,,2 años,****9780*,,,,,,,,,
83,,,,,,,,,,,,,,,,,,,• LOTE 2: Hasta 200 plazas de estancias diurnas: 85312000,Planiger SA - Amavir Argaray,09/06/2019,,2 años,****5197*,,,,,,,,,
84,,,,,,,,,,,,,,,,,,,• LOTE 2: Hasta 200 plazas de estancias diurnas: 85312000,Planiger SA - Amavir Mutilva,09/06/2019,,2 años,****5197*,,,,,,,,,
85,,,,,,,,,,,,,,,,,,,• LOTE 2: Hasta 200 plazas de estancias diurnas: 85312000,Planiger SA - Amavir Oblatas,09/06/2019,,2 años,****5197*,,,,,,,,,
86,,,,,,,,,,,,,,,,,,,• LOTE 2: Hasta 200 plazas de estancias diurnas: 85312000,Sanitas Mayores Navarra S.L. - Luz de Estella,09/06/2019,,2 años,****3827*,,,,,,,,,
87,,,,,,,,,,,,,,,,,,,• LOTE 2: Hasta 200 plazas de estancias diurnas: 85312000,Residencia Beloso Alto S.L.,09/06/2019,,2 años,****4449*,,,,,,,,,
88,,,,,,,,,,,,,,,,,,,• LOTE 2: Hasta 200 plazas de estancias diurnas: 85312000,Residencia Torre Monreal SL,09/06/2019,,2 años,****7287*,,,,,,,,,
89,,,,,,,,,,,,,,,,,,,• LOTE 2: Hasta 200 plazas de estancias diurnas: 85312000,Procgeri Gestión XXI S.L.,09/06/2019,,2 años,****1989*,,,,,,,,,
90,,,,,,,,,,,,,,,,,,,• LOTE 2: Hasta 200 plazas de estancias diurnas: 85312000,Fundación Residencia San Manuel y San Severino,09/06/2019,,2 años,****1272*,,,,,,,,,
91,,,,,,,,,,,,,,,,,,,• LOTE 2: Hasta 200 plazas de estancias diurnas: 85312000,Residencia San Francisco Javier - Fundación Fausta Elorz,09/06/2019,,2 años,****1440*,,,,,,,,,
92,,,,,,,,,,,,,,,,,,,• LOTE 2: Hasta 200 plazas de estancias diurnas: 85312000,Real Casa de Misericordia de Tudela,09/06/2019,,2 años,****1560*,,,,,,,,,
93,,,,,,,,,,,,,,,,,,,• LOTE 2: Hasta 200 plazas de estancias diurnas: 85312000,Asilo de Ancianos San Jerónimo,09/06/2019,,2 años,****1593*,,,,,,,,,
94,,,,,,,,,,,,,,,,,,,• LOTE 2: Hasta 200 plazas de estancias diurnas: 85312000,Residencia de Ancianos San Jose,09/06/2019,,2 años,****7920*,,,,,,,,,
95,,,,,,,,,,,,,,,,,,,• LOTE 2: Hasta 200 plazas de estancias diurnas: 85312000,Residencia San Miguel de Funes,09/06/2019,,2 años,****9611*,,,,,,,,,
96,,,,,,,,,,,,,,,,,,,• LOTE 2: Hasta 200 plazas de estancias diurnas: 85312000,Fundación Don Miguel Eza,09/06/2019,,2 años,****0692*,,,,,,,,,
97,,,,,,,,,,,,,,,,,,,• LOTE 2: Hasta 200 plazas de estancias diurnas: 85312000,Fundación San José Zahar Etxea,09/06/2019,,2 años,****1637*,,,,,,,,,
98,,,,,,,,,,,,,,,,,,,• LOTE 2: Hasta 200 plazas de estancias diurnas: 85312000,Residencia San Miguel - Don Miguel Revuelta,09/06/2019,,2 años,****2998*,,,,,,,,,
99,,,,,,,,,,,,,,,,,,,• LOTE 2: Hasta 200 plazas de estancias diurnas: 85312000,Fundación Carmen Bellido,09/06/2019,,2 años,****3067*,,,,,,,,,
100,,,,,,,,,,,,,,,,,,,• LOTE 2: Hasta 200 plazas de estancias diurnas: 85312000,Residencia Virgen del Portal,09/06/2019,,2 años,****3733*,,,,,,,,,
101,,,,,,,,,,,,,,,,,,,• LOTE 2: Hasta 200 plazas de estancias diurnas: 85312000,Patronato Hogar San José de Corella,09/06/2019,,2 años,****0514*,,,,,,,,,
102,,,,,,,,,,,,,,,,,,,• LOTE 2: Hasta 200 plazas de estancias diurnas: 85312000,Ayuntamiento de Castejon,09/06/2019,,2 años,****6900*,,,,,,,,,
103,,,,,,,,,,,,,,,,,,,• LOTE 2: Hasta 200 plazas de estancias diurnas: 85312000,Patronato Municipal San Francisco De Asís,09/06/2019,,2 años,****7201*,,,,,,,,,
104,,,,,,,,,,,,,,,,,,,• LOTE 2: Hasta 200 plazas de estancias diurnas: 85312000,Residencia Andra Mari de Lesaka,09/06/2019,,2 años,****5301*,,,,,,,,,
